,Vehicle Id,Vehicle Model Year,Vehicle Make,Vehicle Model,Vehicle Price,Vendor Id,Category Id
239,239,2022,LUCID,AIR,437582,7,2
240,240,2023,BMW,X5,196766,3,2
241,241,2024,Audi,Q5,347848,2,1
242,242,2021,LUCID,AIR,332780,7,1
243,243,2022,RIVIAN,R1S,384465,5,2
244,244,2023,BMW,530E,367857,3,1
245,245,2024,KIA,EV9,230206,4,1
246,246,2024,BMW,530E,389390,3,2
247,247,2020,BMW,530E,140925,3,2
248,248,2024,Audi,A7,127114,2,2
249,249,2021,BMW,530E,217207,3,2
250,250,2021,LUCID,AIR,353767,7,2
251,251,2023,Others,Others,417001,8,1
252,252,2023,Tesla,MODEL Y,245910,1,2
253,253,2024,TOYOTA,BZ4X,192587,6,1
254,254,2022,Others,Others,381970,8,2
255,255,2024,Audi,Q5,385950,2,2
256,256,2024,BMW,530E,399497,3,2
257,257,2021,TOYOTA,PRIUS,287947,6,2
258,258,2023,Audi,Q5,206080,2,2
259,259,2020,LUCID,AIR,120300,7,1
260,260,2023,BMW,X5,424508,3,1
261,261,2022,TOYOTA,BZ4X,411786,6,2
262,262,2022,Tesla,MODEL 3,434505,1,1
263,263,2021,RIVIAN,EDV,281892,5,2
264,264,2023,Audi,E-TRON,138761,2,1
265,265,2023,TOYOTA,BZ4X,439341,6,2
266,266,2024,Audi,A3,255560,2,1
267,267,2022,Others,Others,390912,8,2
268,268,2022,Audi,Q5,143764,2,1
269,269,2021,KIA,OPTIMA,208050,4,2
270,270,2021,TOYOTA,RAV4,163397,6,2
271,271,2020,Others,Others,105502,8,2
272,272,2022,Others,Others,386604,8,2
273,273,2020,Tesla,MODEL Y,263926,1,1
274,274,2022,Audi,A7,373276,2,2
275,275,2022,LUCID,AIR,382633,7,2
276,276,2023,KIA,EV9,259876,4,1
277,277,2023,RIVIAN,EDV,278233,5,1
278,278,2020,Tesla,MODEL X,457795,1,2
279,279,2022,LUCID,AIR,217300,7,2
280,280,2024,Tesla,MODEL 3,174816,1,1
281,281,2021,Tesla,MODEL Y,200197,1,2
282,282,2023,LUCID,AIR,418609,7,2
283,283,2024,Others,Others,178964,8,2
284,284,2021,TOYOTA,BZ4X,277656,6,1
285,285,2020,RIVIAN,EDV,232241,5,2
286,286,2022,Audi,E-TRON,361768,2,1
287,287,2024,Tesla,MODEL 3,229737,1,1
288,288,2020,TOYOTA,PRIUS,479556,6,1
289,289,2020,RIVIAN,R1T,344353,5,2
290,290,2021,BMW,530E,140823,3,1
291,291,2024,Tesla,MODEL Y,113820,1,2
292,292,2020,RIVIAN,R1T,405202,5,1
293,293,2022,Others,Others,142419,8,2
294,294,2024,Others,Others,341653,8,1
295,295,2021,LUCID,AIR,477112,7,2
296,296,2020,BMW,XM,382706,3,1
297,297,2022,TOYOTA,PRIUS,337664,6,2
298,298,2024,RIVIAN,R1T,109454,5,2
299,299,2020,Tesla,MODEL X,441914,1,1
300,300,2024,BMW,X5,159630,3,1
301,301,2023,KIA,OPTIMA,435188,4,2
302,302,2022,Audi,E-TRON,252620,2,2
303,303,2021,BMW,720E,471667,3,1
304,304,2021,KIA,EV9,350189,4,2
305,305,2023,Audi,A7,132783,2,2
306,306,2023,Audi,A3,197237,2,1
307,307,2020,Tesla,MODEL S,254161,1,1
308,308,2024,Others,Others,270716,8,2
309,309,2023,Audi,E-TRON,133269,2,1
310,310,2023,Tesla,MODEL X,352966,1,1
311,311,2021,LUCID,AIR,281559,7,1
312,312,2020,KIA,Soul,252293,4,1
313,313,2024,Tesla,MODEL Y,458098,1,2
314,314,2023,TOYOTA,BZ4X,186667,6,1
315,315,2023,Others,Others,163284,8,2
316,316,2023,TOYOTA,PRIUS,439744,6,1
317,317,2021,Audi,Q5,413967,2,1
318,318,2020,Tesla,MODEL X,326935,1,1
319,319,2024,KIA,Soul,220979,4,2
320,320,2024,KIA,Soul,229311,4,2
321,321,2023,Audi,Q5,326238,2,2
322,322,2021,Audi,E-TRON,453151,2,2
323,323,2023,Tesla,MODEL Y,289078,1,2
324,324,2023,KIA,EV9,313055,4,1
325,325,2022,Others,Others,299221,8,1
326,326,2021,TOYOTA,RAV4,236649,6,2
327,327,2024,TOYOTA,PRIUS,418226,6,1
328,328,2021,BMW,720E,145225,3,2
329,329,2024,BMW,X5,122622,3,2
330,330,2022,Audi,A3,228995,2,1
331,331,2022,Audi,Q5,386234,2,2
332,332,2020,BMW,X5,295554,3,2
333,333,2021,Tesla,MODEL Y,263456,1,1
334,334,2022,TOYOTA,RAV4,206926,6,1
335,335,2024,Audi,Q4,353308,2,2
336,336,2022,Audi,A7,151716,2,2
337,337,2023,RIVIAN,R1S,461923,5,2
338,338,2020,BMW,530E,247659,3,2
339,339,2023,Others,Others,383739,8,2
340,340,2020,BMW,X5,383266,3,2
341,341,2022,RIVIAN,R1S,214212,5,2
342,342,2024,BMW,XM,294773,3,1
343,343,2020,KIA,OPTIMA,146111,4,1
344,344,2023,TOYOTA,BZ4X,216020,6,2
345,345,2020,Others,Others,477847,8,2
346,346,2021,KIA,Soul,227788,4,1
347,347,2021,TOYOTA,BZ4X,212212,6,1
348,348,2022,TOYOTA,BZ4X,355122,6,1
349,349,2022,RIVIAN,R1S,385943,5,1
350,350,2020,Tesla,MODEL 3,140672,1,2
351,351,2020,BMW,X5,400461,3,1
352,352,2020,Audi,A3,363664,2,2
353,353,2020,RIVIAN,R1T,195878,5,2
354,354,2023,Audi,E-TRON,127534,2,2
355,355,2020,KIA,EV9,136662,4,2
356,356,2020,KIA,EV9,353753,4,2
357,357,2021,Tesla,MODEL X,298818,1,2
358,358,2023,Others,Others,412494,8,1
359,359,2021,KIA,SPORTAGE,338181,4,1
360,360,2022,Others,Others,480486,8,1
361,361,2024,KIA,SPORTAGE,420405,4,1
362,362,2020,RIVIAN,R1T,131460,5,1
363,363,2024,RIVIAN,R1S,261450,5,1
364,364,2024,TOYOTA,PRIUS,378252,6,1
365,365,2022,TOYOTA,BZ4X,135548,6,1
366,366,2020,KIA,EV9,312554,4,2
367,367,2024,KIA,EV9,107303,4,1
368,368,2024,Tesla,MODEL 3,242960,1,2
369,369,2022,LUCID,AIR,191074,7,2
370,370,2024,BMW,530E,275710,3,2
371,371,2023,BMW,720E,218012,3,2
372,372,2021,RIVIAN,EDV,110377,5,1
373,373,2020,Audi,Q5,283882,2,2
374,374,2021,Tesla,MODEL X,105344,1,1
375,375,2023,RIVIAN,R1T,291860,5,1
376,376,2020,LUCID,AIR,426850,7,2
377,377,2024,LUCID,AIR,245518,7,2
378,378,2023,RIVIAN,R1S,179740,5,1
379,379,2022,KIA,EV9,475248,4,2
380,380,2020,BMW,XM,108662,3,1
381,381,2024,RIVIAN,R1T,410256,5,2
382,382,2024,TOYOTA,BZ4X,237468,6,2
383,383,2022,Tesla,MODEL Y,191147,1,2
384,384,2020,Audi,A3,209814,2,2
385,385,2024,KIA,EV9,191619,4,2
386,386,2021,TOYOTA,RAV4,290065,6,1
387,387,2020,RIVIAN,R1T,115719,5,1
388,388,2021,BMW,X5,467644,3,2
389,389,2023,Audi,Q4,152983,2,1
390,390,2024,Audi,A7,211912,2,2
391,391,2020,Others,Others,197418,8,2
392,392,2024,Others,Others,264379,8,1
393,393,2022,Audi,Q5,285694,2,2
394,394,2023,Others,Others,436988,8,1
395,395,2022,Others,Others,131936,8,2
396,396,2021,Tesla,MODEL Y,427427,1,1
397,397,2020,LUCID,AIR,378578,7,2
398,398,2020,TOYOTA,PRIUS,322431,6,2
399,399,2021,LUCID,AIR,412751,7,2
400,400,2020,Tesla,MODEL Y,187852,1,1
401,401,2023,KIA,EV9,210446,4,2
402,402,2022,Audi,Q4,365099,2,2
403,403,2023,Tesla,MODEL Y,278015,1,1
404,404,2024,LUCID,AIR,397508,7,1
405,405,2021,KIA,OPTIMA,287197,4,1
406,406,2024,TOYOTA,BZ4X,404637,6,1
407,407,2023,TOYOTA,PRIUS,286051,6,2
408,408,2023,Tesla,MODEL 3,488469,1,2
409,409,2022,Audi,A7,263013,2,2
410,410,2022,KIA,EV9,280352,4,2
411,411,2021,Audi,Q5,222853,2,2
412,412,2020,KIA,EV9,413056,4,2
413,413,2023,TOYOTA,PRIUS,489747,6,1
414,414,2024,RIVIAN,EDV,243772,5,1
415,415,2020,RIVIAN,R1S,423899,5,1
416,416,2024,Audi,A3,197421,2,2
417,417,2023,KIA,SPORTAGE,383707,4,2
418,418,2022,LUCID,AIR,160175,7,2
419,419,2023,Tesla,MODEL S,228731,1,2
420,420,2024,TOYOTA,BZ4X,390096,6,2
421,421,2022,Others,Others,478666,8,2
422,422,2024,BMW,530E,274544,3,1
423,423,2020,Others,Others,187353,8,2
424,424,2021,BMW,X5,287333,3,1
425,425,2023,Others,Others,130392,8,1
426,426,2022,LUCID,AIR,114095,7,2
427,427,2023,BMW,XM,404105,3,2
428,428,2022,LUCID,AIR,494345,7,1
429,429,2023,Tesla,MODEL X,103011,1,2
430,430,2020,RIVIAN,R1S,379552,5,2
431,431,2022,Tesla,MODEL X,234075,1,2
432,432,2024,Tesla,MODEL S,362623,1,1
433,433,2024,KIA,OPTIMA,469318,4,1
434,434,2022,Tesla,MODEL Y,105300,1,2
435,435,2024,RIVIAN,EDV,373736,5,1
436,436,2020,Tesla,MODEL X,441439,1,2
437,437,2020,RIVIAN,R1T,109792,5,2
438,438,2022,Others,Others,350292,8,1
439,439,2022,LUCID,AIR,420667,7,1
440,440,2022,Audi,Q4,455117,2,1
441,441,2020,Audi,A7,394760,2,1
442,442,2021,KIA,EV9,318601,4,1
443,443,2024,Audi,A3,358631,2,1
444,444,2024,Others,Others,190595,8,1
445,445,2024,BMW,XM,340088,3,2
446,446,2022,BMW,XM,373611,3,1
447,447,2022,RIVIAN,EDV,202613,5,2
448,448,2023,Others,Others,146285,8,1
449,449,2023,LUCID,AIR,222962,7,2
450,450,2022,LUCID,AIR,313976,7,1
451,451,2024,Others,Others,365862,8,1
452,452,2022,RIVIAN,R1S,146238,5,1
453,453,2024,BMW,X5,496607,3,1
454,454,2020,BMW,720E,361653,3,2
455,455,2020,BMW,530E,103726,3,1
456,456,2023,Tesla,MODEL S,421087,1,2
457,457,2023,TOYOTA,PRIUS,414848,6,2
458,458,2021,LUCID,AIR,190498,7,1
459,459,2024,Audi,A7,473818,2,2
460,460,2023,LUCID,AIR,281334,7,1
461,461,2021,Audi,Q5,470441,2,1
462,462,2022,Audi,E-TRON,271000,2,1
463,463,2021,TOYOTA,BZ4X,408228,6,2
464,464,2023,Tesla,MODEL 3,424946,1,2
465,465,2020,Audi,A3,498912,2,1
466,466,2024,Audi,A7,428475,2,2
467,467,2023,KIA,OPTIMA,236311,4,1
468,468,2024,KIA,EV9,199682,4,1
469,469,2020,LUCID,AIR,338839,7,2
470,470,2022,RIVIAN,R1S,297760,5,1
471,471,2022,Audi,A3,199106,2,2
472,472,2021,Tesla,MODEL X,379358,1,1
473,473,2020,LUCID,AIR,397951,7,1
474,474,2020,Others,Others,186878,8,2
475,475,2020,Others,Others,495393,8,1
476,476,2022,RIVIAN,R1S,478015,5,2
477,477,2021,BMW,XM,290713,3,1
478,478,2023,Audi,A3,152809,2,1
479,479,2022,Tesla,MODEL Y,231622,1,1
480,480,2023,LUCID,AIR,298418,7,2
481,481,2023,RIVIAN,R1S,496955,5,2
482,482,2021,TOYOTA,BZ4X,342476,6,1
483,483,2024,RIVIAN,R1T,409400,5,2
484,484,2020,Tesla,MODEL X,387035,1,2
485,485,2021,Tesla,MODEL 3,343968,1,2
486,486,2021,Tesla,MODEL S,147065,1,1
487,487,2020,Others,Others,106394,8,2
488,488,2023,TOYOTA,PRIUS,316875,6,2
489,489,2023,RIVIAN,EDV,433732,5,1
490,490,2021,KIA,SPORTAGE,381216,4,2
491,491,2023,Tesla,MODEL X,270373,1,2
492,492,2021,TOYOTA,BZ4X,374147,6,1
493,493,2021,KIA,SPORTAGE,300691,4,2
494,494,2023,KIA,Soul,432167,4,2
495,495,2020,Tesla,MODEL 3,221400,1,1
496,496,2020,Others,Others,474962,8,2
497,497,2020,BMW,530E,100154,3,1
498,498,2021,RIVIAN,R1T,205031,5,1
499,499,2023,Tesla,MODEL X,137712,1,2
500,500,2021,Tesla,MODEL 3,428521,1,2
501,501,2020,KIA,OPTIMA,113043,4,1
502,502,2022,Audi,Q4,113034,2,1
503,503,2020,Tesla,MODEL Y,465282,1,2
504,504,2020,BMW,530E,231356,3,2
505,505,2023,RIVIAN,R1T,436401,5,2
506,506,2023,TOYOTA,PRIUS,138963,6,2
507,507,2022,BMW,720E,274425,3,2
508,508,2020,Tesla,MODEL X,176332,1,1
509,509,2024,Audi,E-TRON,491342,2,1
510,510,2022,Audi,E-TRON,146225,2,2
511,511,2021,Audi,E-TRON,480261,2,1
512,512,2024,LUCID,AIR,430498,7,2
513,513,2024,KIA,EV9,341082,4,2
514,514,2023,Others,Others,224214,8,2
515,515,2022,Tesla,MODEL 3,240144,1,2
516,516,2024,TOYOTA,BZ4X,347037,6,1
517,517,2024,TOYOTA,BZ4X,494176,6,2
518,518,2024,TOYOTA,PRIUS,260934,6,2
519,519,2022,TOYOTA,PRIUS,423646,6,1
520,520,2021,KIA,OPTIMA,325826,4,2
521,521,2024,TOYOTA,RAV4,341228,6,2
522,522,2021,TOYOTA,PRIUS,329743,6,2
523,523,2024,TOYOTA,BZ4X,434106,6,1
524,524,2024,RIVIAN,R1S,309820,5,2
525,525,2022,Tesla,MODEL X,251141,1,1
526,526,2021,BMW,X5,310771,3,2
527,527,2020,KIA,Soul,146712,4,2
528,528,2023,BMW,530E,388358,3,1
529,529,2023,Others,Others,422595,8,1
530,530,2023,LUCID,AIR,300832,7,1
531,531,2022,Others,Others,394044,8,1
532,532,2024,KIA,OPTIMA,132400,4,1
533,533,2023,Audi,Q5,207806,2,1
534,534,2024,KIA,OPTIMA,260385,4,2
535,535,2020,LUCID,AIR,479549,7,2
536,536,2024,BMW,XM,460153,3,2
537,537,2020,RIVIAN,R1T,262980,5,2
538,538,2020,KIA,OPTIMA,175279,4,1
539,539,2020,Tesla,MODEL S,220918,1,1
540,540,2022,KIA,SPORTAGE,368947,4,2
541,541,2021,BMW,X5,316595,3,2
542,542,2023,Tesla,MODEL Y,471572,1,1
543,543,2022,RIVIAN,R1T,443077,5,2
544,544,2022,BMW,X5,311214,3,2
545,545,2020,Audi,Q4,247644,2,1
546,546,2020,KIA,OPTIMA,367394,4,2
547,547,2023,KIA,Soul,112140,4,2
548,548,2021,BMW,XM,390652,3,1
549,549,2021,Others,Others,216488,8,1
550,550,2023,KIA,SPORTAGE,319095,4,1
551,551,2021,Audi,A7,217070,2,1
552,552,2020,Tesla,MODEL 3,205033,1,2
553,553,2024,Others,Others,128950,8,2
554,554,2020,TOYOTA,RAV4,412156,6,1
555,555,2021,RIVIAN,R1S,100185,5,2
556,556,2022,Audi,A7,233240,2,1
557,557,2024,KIA,EV9,362170,4,2
558,558,2022,BMW,530E,469573,3,2
559,559,2020,RIVIAN,R1S,478560,5,2
560,560,2023,RIVIAN,EDV,165682,5,1
561,561,2023,Audi,A7,191613,2,2
562,562,2023,BMW,XM,164428,3,1
563,563,2020,TOYOTA,BZ4X,312150,6,2
564,564,2023,Tesla,MODEL X,123059,1,1
565,565,2020,Tesla,MODEL S,478764,1,1
566,566,2024,Tesla,MODEL S,157977,1,2
567,567,2023,Tesla,MODEL S,258239,1,2
568,568,2020,BMW,XM,373015,3,2
569,569,2022,Tesla,MODEL 3,395902,1,2
570,570,2020,Audi,Q4,461718,2,2
571,571,2021,BMW,X5,451639,3,2
572,572,2024,Audi,E-TRON,473547,2,1
573,573,2022,Audi,A7,441177,2,1
574,574,2023,Others,Others,361674,8,1
575,575,2021,TOYOTA,PRIUS,310630,6,2
576,576,2023,TOYOTA,PRIUS,207984,6,1
577,577,2020,BMW,530E,241703,3,1
578,578,2022,LUCID,AIR,142456,7,2
579,579,2020,KIA,Soul,260966,4,2
580,580,2022,BMW,X5,323151,3,2
581,581,2024,RIVIAN,R1S,229385,5,2
582,582,2020,TOYOTA,BZ4X,185220,6,1
583,583,2024,Others,Others,215614,8,1
584,584,2024,LUCID,AIR,431308,7,1
585,585,2024,BMW,X5,399384,3,2
586,586,2023,KIA,EV9,359305,4,1
587,587,2022,LUCID,AIR,463868,7,1
588,588,2020,KIA,EV9,343678,4,1
589,589,2021,BMW,720E,149536,3,2
590,590,2024,BMW,XM,411357,3,1
591,591,2021,RIVIAN,R1T,168217,5,2
592,592,2024,RIVIAN,R1T,397107,5,2
593,593,2020,TOYOTA,PRIUS,241185,6,1
594,594,2020,BMW,X5,107310,3,2
